customer_id,gender,senior_citizen,partner,dependents,tenure_months,phone_service,multiple_lines,internet_service,online_security,tech_support,streaming_tv,contract,paperless_billing,payment_method,monthly_charges,total_charges,num_support_calls,churn
CUST00019,Female,0,No,No,22,Yes,No phone service,Fiber optic,Yes,No internet service,No internet service,Month-to-month,Yes,Credit card,88.04,1984.98,1,Yes
CUST00020,Male,1,Yes,Yes,9,No,Yes,No,No internet service,Yes,No,Month-to-month,No,Credit card,118.56,1101.54,1,Yes
CUST00021,Female,0,Yes,No,50,Yes,Yes,DSL,Yes,No,No,Month-to-month,Yes,Mailed check,32.07,1646.39,0,No
CUST00022,Male,1,Yes,No,18,Yes,Yes,DSL,No,No,No internet service,Two year,No,Electronic check,23.95,438.34,0,No
CUST00023,Female,0,Yes,No,50,Yes,Yes,Fiber optic,No internet service,No,No internet service,Two year,No,Electronic check,46.03,2305.16,1,No
CUST00024,Female,0,Yes,Yes,67,Yes,No phone service,Fiber optic,Yes,No internet service,No internet service,One year,No,Bank transfer,19.94,1336.56,1,No
CUST00025,Female,0,No,Yes,41,Yes,No phone service,Fiber optic,Yes,No,No,Two year,Yes,Credit card,113.13,4686.11,0,No
CUST00026,Female,0,Yes,Yes,56,Yes,Yes,DSL,No internet service,No,No internet service,Month-to-month,Yes,Electronic check,49.0,2759.01,2,Yes
CUST00027,Female,0,No,No,67,No,No phone service,Fiber optic,No internet service,No internet service,No,Month-to-month,Yes,Bank transfer,74.35,5004.43,0,Yes
CUST00028,Female,0,No,Yes,37,Yes,No phone service,DSL,Yes,No,Yes,One year,Yes,Electronic check,50.44,1886.01,3,Yes
CUST00029,Female,0,Yes,No,61,Yes,Yes,DSL,No internet service,No,No,One year,No,Credit card,43.07,2663.79,3,Yes
CUST00030,Female,0,No,Yes,6,Yes,No,No,No,No internet service,Yes,Month-to-month,No,Bank transfer,33.54,216.74,0,Yes
CUST00031,Male,0,Yes,No,70,Yes,No,No,No,No,No internet service,Month-to-month,Yes,Electronic check,50.68,3574.37,1,No
CUST00032,Male,0,No,No,49,Yes,Yes,No,No,Yes,No internet service,Two year,Yes,Mailed check,80.77,4007.51,0,No
CUST00033,Female,0,Yes,No,51,Yes,No,Fiber optic,Yes,No internet service,No,Two year,Yes,Electronic check,117.11,5994.81,2,No
CUST00034,Female,0,Yes,Yes,25,Yes,No phone service,Fiber optic,No,No,Yes,Month-to-month,No,Credit card,74.93,1900.81,2,No
CUST00035,Female,0,No,No,25,Yes,No,Fiber optic,No internet service,Yes,No internet service,One year,No,Mailed check,72.34,1833.63,3,No
CUST00036,Male,0,Yes,Yes,18,Yes,Yes,DSL,No,No internet service,No internet service,Month-to-month,Yes,Electronic check,21.6,428.96,1,Yes
CUST00037,Female,0,No,No,8,Yes,Yes,DSL,No internet service,No,Yes,Month-to-month,Yes,Electronic check,103.69,842.86,1,Yes
CUST00038,Male,0,Yes,No,60,Yes,No,DSL,No,No internet service,No internet service,Month-to-month,No,Bank transfer,22.57,1362.72,1,No
CUST00039,Male,0,Yes,Yes,19,Yes,No,No,No internet service,Yes,No internet service,Month-to-month,No,Credit card,110.44,2136.06,1,Yes
CUST00040,Male,0,Yes,No,49,Yes,No phone service,DSL,No,No internet service,No,Month-to-month,Yes,Electronic check,72.94,3594.84,2,Yes
CUST00041,Male,0,No,No,21,Yes,No,No,No,No,No internet service,Two year,No,Electronic check,35.18,784.47,0,No
CUST00042,Male,0,No,Yes,12,Yes,No,Fiber optic,No,Yes,Yes,Month-to-month,No,Electronic check,64.07,801.05,2,Yes
CUST00043,Female,0,Yes,No,11,Yes,No,Fiber optic,No internet service,No internet service,No internet service,One year,Yes,Credit card,119.49,1342.61,0,Yes
CUST00044,Female,0,No,Yes,9,Yes,No phone service,DSL,No internet service,No,No,Month-to-month,Yes,Mailed check,49.12,445.6,1,No
CUST00045,Female,1,Yes,No,64,Yes,No,DSL,No,No,No internet service,Month-to-month,Yes,Credit card,45.48,2947.24,2,No
CUST00046,Female,0,No,No,29,Yes,No phone service,No,No internet service,Yes,Yes,Two year,Yes,Bank transfer,30.04,905.46,4,No
CUST00047,Female,0,No,Yes,7,Yes,No phone service,DSL,No internet service,Yes,No internet service,One year,Yes,Bank transfer,78.91,584.37,2,No
CUST00048,Male,0,Yes,No,20,Yes,Yes,DSL,Yes,No internet service,Yes,Two year,Yes,Credit card,27.1,555.4,1,No
CUST00049,Female,0,Yes,No,21,Yes,Yes,DSL,No,No,No,Two year,Yes,Electronic check,96.13,2066.07,1,No
CUST00050,Female,0,Yes,No,17,Yes,No phone service,DSL,No internet service,Yes,No internet service,Month-to-month,Yes,Electronic check,111.76,1916.0,2,Yes
CUST00051,Male,1,Yes,No,65,Yes,No phone service,DSL,No internet service,No,No internet service,Month-to-month,Yes,Mailed check,113.05,7355.86,0,No
CUST00052,Female,0,Yes,No,47,Yes,No phone service,Fiber optic,No internet service,No internet service,No,Two year,Yes,Credit card,29.01,1412.83,3,No
CUST00053,Male,0,No,No,43,Yes,Yes,Fiber optic,No internet service,Yes,Yes,Two year,No,Credit card,74.94,3259.73,3,No
CUST00054,Female,1,No,No,8,Yes,No phone service,Fiber optic,Yes,No internet service,Yes,One year,No,Electronic check,27.91,244.02,1,No
CUST00055,Male,0,Yes,No,66,Yes,Yes,DSL,No internet service,No internet service,No internet service,One year,Yes,Bank transfer,76.35,5085.9,0,No
CUST00056,Female,0,Yes,No,53,Yes,Yes,No,No internet service,Yes,Yes,One year,Yes,Bank transfer,101.13,5364.45,0,No
CUST00057,Female,0,Yes,No,25,Yes,No phone service,Fiber optic,Yes,No internet service,Yes,Month-to-month,No,Mailed check,72.85,1825.63,4,Yes
CUST00058,Male,0,No,No,25,Yes,No phone service,DSL,No,No,No internet service,One year,Yes,Mailed check,106.95,2707.87,1,No
CUST00059,Male,0,Yes,No,33,Yes,No phone service,Fiber optic,No,Yes,Yes,Two year,No,Bank transfer,99.77,3301.31,1,No
CUST00060,Male,1,Yes,No,7,Yes,Yes,DSL,Yes,No,Yes,One year,Yes,Credit card,46.21,369.33,1,No
CUST00061,Male,0,No,No,9,No,No,Fiber optic,No,No internet service,No internet service,Month-to-month,No,Mailed check,82.27,782.45,2,Yes
CUST00062,Male,0,No,No,47,Yes,No phone service,Fiber optic,No,Yes,No internet service,Month-to-month,Yes,Electronic check,18.76,897.04,1,Yes
CUST00063,Male,0,No,No,54,Yes,No,No,Yes,No,Yes,Month-to-month,No,Credit card,58.4,3198.04,1,No
CUST00064,Male,0,No,No,53,Yes,No,DSL,No internet service,No,No internet service,Month-to-month,No,Electronic check,42.27,2242.45,1,No
CUST00065,Male,0,Yes,Yes,39,No,No,Fiber optic,Yes,No,Yes,Two year,No,Mailed check,113.59,4457.44,1,No
CUST00066,Female,0,No,No,14,Yes,No,DSL,Yes,No,Yes,Month-to-month,No,Bank transfer,59.35,877.68,1,No
CUST00067,Female,0,No,No,17,Yes,No,Fiber optic,Yes,No,Yes,Month-to-month,Yes,Mailed check,84.71,1482.84,3,Yes
CUST00068,Male,0,Yes,No,22,Yes,Yes,Fiber optic,Yes,No internet service,Yes,Month-to-month,Yes,Bank transfer,92.66,,0,No
CUST00069,Female,0,Yes,Yes,61,Yes,Yes,DSL,Yes,No internet service,No internet service,One year,Yes,Credit card,96.87,5918.21,1,No
CUST00070,Female,0,Yes,Yes,45,Yes,Yes,Fiber optic,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,93.05,4197.78,1,Yes
CUST00071,Female,0,No,No,38,Yes,No,Fiber optic,No,No internet service,No,Month-to-month,Yes,Mailed check,47.49,1830.35,2,Yes
CUST00072,Female,0,Yes,No,14,Yes,Yes,No,Yes,No internet service,No internet service,Month-to-month,No,Mailed check,87.98,1261.56,2,Yes
CUST00073,Male,0,No,Yes,52,Yes,No phone service,DSL,No internet service,No internet service,No,Month-to-month,No,Credit card,74.0,3849.64,1,No
CUST00074,Female,1,No,No,63,Yes,No,No,Yes,No internet service,Yes,Month-to-month,Yes,Electronic check,78.93,4993.27,1,No
CUST00075,Male,0,No,No,62,Yes,No phone service,No,No internet service,No,No internet service,Month-to-month,Yes,Electronic check,18.08,1162.48,3,No
CUST00076,Female,0,Yes,Yes,15,Yes,No,No,No,No internet service,Yes,Two year,Yes,Bank transfer,44.34,687.32,1,No
CUST00077,Female,0,No,No,69,Yes,No,Fiber optic,No internet service,No,No,Month-to-month,No,Mailed check,112.93,7800.63,1,Yes
CUST00078,Female,0,Yes,No,65,Yes,No,No,No internet service,Yes,No internet service,Month-to-month,Yes,Electronic check,47.59,3141.09,3,Yes
CUST00079,Male,0,Yes,No,12,Yes,No,Fiber optic,No,No internet service,No internet service,One year,No,Credit card,62.68,765.47,2,No
CUST00080,Female,0,Yes,No,46,Yes,No phone service,DSL,No,No,No internet service,Month-to-month,No,Mailed check,37.04,1743.76,1,Yes
CUST00081,Male,0,No,No,8,No,No,Fiber optic,No internet service,Yes,No internet service,One year,No,Bank transfer,32.14,266.81,1,Yes
CUST00082,Female,0,No,No,62,Yes,No,Fiber optic,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,39.28,2456.52,5,No
CUST00083,Male,0,No,No,33,Yes,Yes,No,Yes,No,No internet service,One year,Yes,Credit card,74.47,2482.03,1,No
CUST00084,Female,0,Yes,Yes,28,Yes,No,Fiber optic,No,No,No,One year,No,Credit card,111.74,3153.75,0,No
CUST00085,Male,1,No,Yes,36,Yes,No,DSL,Yes,No,No internet service,Two year,No,Bank transfer,51.27,1871.54,0,No
CUST00086,Male,0,No,No,42,Yes,No,Fiber optic,No,No internet service,No,Month-to-month,No,Electronic check,50.99,2152.83,1,Yes
CUST00087,Female,0,No,No,63,Yes,No,No,No internet service,Yes,No,Month-to-month,Yes,Mailed check,75.54,4784.82,2,No
CUST00088,Male,0,No,Yes,23,Yes,No,DSL,No internet service,No internet service,Yes,Month-to-month,No,Credit card,54.39,1275.06,2,Yes
CUST00089,Female,0,No,No,70,Yes,No,DSL,Yes,No internet service,No internet service,Two year,Yes,Bank transfer,110.86,7770.64,2,No
CUST00090,Female,0,Yes,Yes,33,Yes,No phone service,Fiber optic,No,No internet service,No,Two year,No,Credit card,56.54,1915.23,0,No
CUST00091,Female,0,Yes,No,47,Yes,No phone service,DSL,Yes,Yes,No internet service,Month-to-month,No,Credit card,68.03,3240.69,3,No
CUST00092,Female,1,Yes,No,11,Yes,No,DSL,Yes,Yes,Yes,Month-to-month,No,Electronic check,72.41,840.89,1,Yes
CUST00093,Female,0,Yes,No,22,Yes,No phone service,DSL,No internet service,Yes,Yes,Month-to-month,No,Electronic check,97.77,2185.22,3,Yes
CUST00094,Female,0,No,No,12,No,Yes,No,Yes,No,No internet service,Month-to-month,Yes,Mailed check,75.52,914.23,1,No
CUST00095,Female,0,Yes,Yes,44,Yes,Yes,DSL,No internet service,No internet service,No,Month-to-month,No,Credit card,42.39,1893.56,0,No
CUST00096,Female,0,No,No,64,Yes,No,Fiber optic,No,No,Yes,Month-to-month,No,Bank transfer,30.65,2002.67,2,No
CUST00097,Female,0,Yes,Yes,46,No,No,Fiber optic,Yes,No,No,One year,Yes,Credit card,113.65,5229.84,2,Yes
CUST00098,Female,0,Yes,No,57,Yes,No phone service,No,No internet service,No internet service,No,Two year,No,Bank transfer,99.76,5711.11,1,No
CUST00099,Female,0,Yes,Yes,4,Yes,Yes,No,Yes,Yes,No internet service,Two year,Yes,Credit card,20.34,101.17,4,Yes
CUST00100,Male,1,No,No,4,Yes,No,Fiber optic,No,No internet service,Yes,Month-to-month,No,Bank transfer,101.8,417.81,0,No
CUST00101,Male,0,No,No,59,Yes,Yes,No,Yes,No,No internet service,One year,Yes,Credit card,78.24,4635.07,1,No
CUST00102,Female,0,Yes,No,20,Yes,No phone service,DSL,Yes,Yes,No internet service,Two year,No,Credit card,70.93,1467.77,1,No
CUST00103,Female,0,No,No,23,Yes,No,Fiber optic,No internet service,Yes,No internet service,Month-to-month,Yes,Mailed check,19.25,478.91,1,No
CUST00104,Female,0,Yes,No,17,Yes,No,Fiber optic,No,No,No,One year,Yes,Electronic check,97.65,1675.03,1,No
CUST00105,Female,0,Yes,Yes,20,Yes,No,DSL,No,Yes,No internet service,Month-to-month,Yes,Electronic check,38.2,794.27,1,Yes
CUST00106,Female,0,Yes,Yes,53,Yes,Yes,Fiber optic,No,Yes,Yes,Month-to-month,Yes,Bank transfer,92.25,4901.58,1,Yes
CUST00107,Female,0,No,No,9,Yes,No phone service,DSL,Yes,No internet service,No,Month-to-month,No,Credit card,19.62,207.12,2,No
CUST00108,Female,0,Yes,Yes,23,Yes,Yes,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card,99.23,2327.1,3,Yes
CUST00109,Female,0,Yes,Yes,59,Yes,Yes,Fiber optic,Yes,No,Yes,One year,No,Electronic check,20.35,1228.49,4,No
CUST00110,Male,0,Yes,No,56,Yes,No,Fiber optic,Yes,No,No internet service,Month-to-month,No,Bank transfer,42.06,2392.03,4,No
CUST00111,Female,1,No,No,22,Yes,No phone service,DSL,Yes,No,No internet service,Month-to-month,No,Mailed check,45.36,1020.59,2,Yes
CUST00112,Male,0,Yes,No,21,Yes,No phone service,DSL,No,Yes,No internet service,Month-to-month,No,Mailed check,34.07,741.68,2,No
CUST00113,Female,0,No,No,67,Yes,No,No,No internet service,No,No,Two year,Yes,Mailed check,67.07,4528.44,0,No
CUST00114,Female,0,Yes,No,33,Yes,No phone service,Fiber optic,No,No internet service,No internet service,Month-to-month,Yes,Credit card,46.94,1589.64,1,No
CUST00115,Male,0,No,Yes,69,No,No,No,Yes,Yes,Yes,One year,Yes,Bank transfer,119.32,8266.05,2,No
CUST00116,Female,0,Yes,No,27,Yes,No,DSL,Yes,No,No internet service,One year,Yes,Electronic check,77.16,2132.19,2,No
CUST00117,Male,1,Yes,No,38,Yes,No phone service,DSL,No internet service,Yes,No internet service,Month-to-month,No,Credit card,75.78,2920.63,3,No
CUST00118,Female,0,No,No,41,Yes,No phone service,Fiber optic,No,Yes,No,Month-to-month,Yes,Credit card,40.53,1700.59,1,No
CUST00119,Female,0,No,Yes,22,Yes,No phone service,Fiber optic,Yes,Yes,No internet service,One year,No,Mailed check,59.69,1355.44,1,No
CUST00120,Male,0,Yes,No,69,No,No phone service,DSL,Yes,No,Yes,Month-to-month,Yes,Bank transfer,30.65,2128.91,2,No
CUST00121,Female,0,No,Yes,1,No,Yes,Fiber optic,No internet service,Yes,Yes,Month-to-month,No,Bank transfer,95.78,,1,Yes
CUST00122,Male,0,Yes,Yes,23,Yes,No,Fiber optic,Yes,Yes,No internet service,One year,Yes,Mailed check,51.78,1219.16,5,Yes
CUST00123,Female,0,Yes,Yes,16,Yes,No,DSL,No,Yes,Yes,Month-to-month,Yes,Mailed check,94.7,1538.32,1,Yes
CUST00124,Male,1,Yes,No,64,Yes,No,DSL,No,No internet service,Yes,Month-to-month,No,Mailed check,55.91,3620.61,2,Yes
CUST00125,Male,0,No,No,69,Yes,No,Fiber optic,Yes,No,No internet service,Month-to-month,Yes,Credit card,118.85,8202.0,2,Yes
CUST00126,Female,0,Yes,No,68,Yes,Yes,Fiber optic,Yes,No internet service,Yes,Month-to-month,No,Credit card,35.45,2421.06,2,No
CUST00127,Female,0,No,No,59,Yes,No phone service,Fiber optic,Yes,Yes,Yes,One year,Yes,Credit card,18.16,1115.53,3,No
CUST00128,Male,0,Yes,No,49,Yes,No phone service,Fiber optic,No internet service,Yes,No internet service,One year,Yes,Electronic check,78.67,3857.79,3,No
CUST00129,Female,0,No,Yes,11,Yes,No phone service,DSL,No internet service,No internet service,No,One year,No,Electronic check,115.2,1278.55,1,Yes
CUST00130,Female,0,No,Yes,46,No,No,No,No,Yes,No,One year,Yes,Bank transfer,84.0,3881.56,2,No
CUST00131,Female,0,Yes,No,66,Yes,Yes,No,No,No internet service,No internet service,Month-to-month,No,Mailed check,26.74,1802.38,0,No
CUST00132,Male,0,No,No,64,Yes,Yes,Fiber optic,Yes,Yes,No,Month-to-month,Yes,Mailed check,73.13,4708.33,3,Yes
CUST00133,Male,0,Yes,No,26,Yes,No phone service,DSL,Yes,Yes,No,Month-to-month,No,Credit card,110.77,2927.75,1,No
CUST00134,Male,0,Yes,Yes,47,Yes,No,Fiber optic,Yes,Yes,No,Month-to-month,Yes,Electronic check,18.66,888.41,2,Yes
CUST00135,Male,1,Yes,Yes,61,Yes,No phone service,Fiber optic,No internet service,Yes,No,Two year,Yes,Mailed check,35.03,2180.44,1,No
CUST00136,Male,0,Yes,Yes,43,Yes,No,No,No internet service,No,No internet service,Two year,Yes,Bank transfer,101.09,4361.02,1,No
CUST00137,Male,0,Yes,No,18,Yes,No phone service,No,Yes,No,No,Month-to-month,Yes,Mailed check,109.18,1977.51,0,No
CUST00138,Male,0,No,No,58,Yes,No phone service,No,Yes,No,No,Month-to-month,Yes,Credit card,90.13,5252.46,2,No
CUST00139,Male,1,Yes,No,7,Yes,Yes,DSL,No,No internet service,No internet service,Month-to-month,No,Credit card,119.14,837.54,1,Yes
CUST00140,Male,1,No,No,54,No,No,No,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,27.2,1488.02,1,Yes
CUST00141,Female,0,No,No,46,Yes,Yes,Fiber optic,Yes,No internet service,No,Month-to-month,Yes,Bank transfer,73.66,3406.14,0,Yes
CUST00142,Male,1,Yes,No,1,Yes,Yes,No,No internet service,No internet service,Yes,Month-to-month,Yes,Bank transfer,87.87,95.88,1,Yes
CUST00143,Female,0,No,Yes,38,Yes,No phone service,Fiber optic,Yes,No,No internet service,Two year,Yes,Mailed check,89.67,3450.5,0,No
CUST00144,Female,0,Yes,No,44,Yes,No,DSL,Yes,No internet service,No internet service,One year,Yes,Bank transfer,98.94,4372.65,2,No
CUST00145,Female,0,No,No,31,Yes,No,Fiber optic,No,No internet service,No,Month-to-month,Yes,Mailed check,111.6,3508.7,0,No
CUST00146,Male,0,No,Yes,64,Yes,No phone service,DSL,No,No internet service,Yes,Month-to-month,Yes,Mailed check,54.89,3557.95,0,No
CUST00147,Male,0,No,No,37,Yes,No phone service,Fiber optic,No,Yes,No internet service,Month-to-month,No,Electronic check,22.38,837.8,1,No
CUST00148,Male,0,Yes,No,10,Yes,No phone service,No,Yes,No internet service,No internet service,Two year,No,Bank transfer,54.97,574.96,0,No
CUST00149,Male,0,No,No,9,Yes,No,DSL,No,Yes,No internet service,Two year,Yes,Credit card,86.5,808.59,1,No
CUST00150,Female,0,Yes,No,58,Yes,No phone service,DSL,Yes,No internet service,Yes,Two year,Yes,Mailed check,39.77,2347.61,1,No
CUST00151,Male,0,No,No,54,Yes,No phone service,DSL,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,100.62,5477.76,1,No
CUST00152,Male,0,No,No,19,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,One year,Yes,Mailed check,40.42,799.18,3,Yes
CUST00153,Male,0,No,Yes,16,Yes,No phone service,No,Yes,No internet service,Yes,Month-to-month,No,Bank transfer,19.03,306.24,3,No
CUST00154,Male,0,No,Yes,67,Yes,No phone service,DSL,No,Yes,No internet service,One year,No,Bank transfer,69.82,4702.0,3,No
CUST00155,Male,0,Yes,Yes,4,Yes,No,DSL,No,No internet service,Yes,Month-to-month,Yes,Bank transfer,92.1,412.64,2,Yes
CUST00156,Female,1,Yes,Yes,59,Yes,No phone service,No,No internet service,No internet service,Yes,Month-to-month,Yes,Mailed check,53.66,3201.64,3,No
CUST00157,Male,0,No,No,22,No,No,No,Yes,Yes,Yes,One year,No,Credit card,94.39,2120.09,1,No
CUST00158,Female,0,No,No,45,Yes,Yes,DSL,Yes,No,No,Month-to-month,No,Credit card,62.72,2856.1,1,Yes
CUST00159,Male,0,Yes,Yes,51,Yes,Yes,Fiber optic,Yes,Yes,No internet service,Month-to-month,Yes,Bank transfer,35.51,1813.21,2,No
CUST00160,Female,0,Yes,No,9,Yes,No,Fiber optic,No internet service,No,No internet service,Month-to-month,No,Credit card,27.24,293.56,0,No
CUST00161,Male,0,Yes,Yes,45,Yes,No phone service,Fiber optic,No internet service,Yes,No internet service,Month-to-month,Yes,Mailed check,90.48,4117.5,3,No
CUST00162,Male,0,Yes,No,27,Yes,No,Fiber optic,No,No,Yes,Month-to-month,Yes,Bank transfer,57.34,1554.51,1,Yes
CUST00163,Female,1,No,Yes,42,Yes,No phone service,No,Yes,No internet service,No,Month-to-month,No,Bank transfer,111.1,4671.83,1,No
CUST00164,Female,0,No,No,25,Yes,No phone service,DSL,Yes,No,Yes,Month-to-month,No,Mailed check,73.11,1854.7,2,Yes
CUST00165,Female,1,Yes,Yes,54,Yes,No phone service,DSL,Yes,No internet service,No internet service,Month-to-month,No,Bank transfer,53.54,2929.01,0,No
CUST00166,Male,1,Yes,No,47,Yes,No,Fiber optic,Yes,Yes,Yes,Two year,No,Mailed check,53.6,2538.31,1,No
CUST00167,Female,0,Yes,No,28,Yes,Yes,Fiber optic,No internet service,No,No,Month-to-month,Yes,Bank transfer,31.41,886.3,0,No
CUST00168,Male,1,Yes,No,26,Yes,No,No,No,No internet service,No internet service,Month-to-month,Yes,Credit card,78.57,2068.35,4,No
CUST00169,Male,0,Yes,Yes,17,Yes,No phone service,Fiber optic,No internet service,Yes,Yes,Month-to-month,Yes,Bank transfer,77.38,1332.34,0,No
CUST00170,Female,0,Yes,Yes,59,Yes,No,DSL,No,No,No,Two year,Yes,Bank transfer,99.6,5893.99,0,No
CUST00171,Female,0,No,Yes,68,Yes,Yes,Fiber optic,Yes,No internet service,Yes,One year,No,Bank transfer,38.52,2651.61,4,No
CUST00172,Male,1,No,No,20,Yes,No,Fiber optic,Yes,No,Yes,Month-to-month,Yes,Electronic check,47.66,997.48,1,Yes
CUST00173,Male,1,No,Yes,23,Yes,Yes,No,Yes,No,No internet service,One year,No,Credit card,27.92,670.09,2,No
CUST00174,Female,0,Yes,No,2,Yes,Yes,Fiber optic,Yes,No internet service,No,One year,No,Mailed check,48.12,130.62,1,No
CUST00175,Female,0,Yes,No,61,Yes,No phone service,Fiber optic,Yes,No internet service,Yes,One year,Yes,Electronic check,61.67,,1,No
CUST00176,Female,0,Yes,No,1,Yes,Yes,Fiber optic,No internet service,Yes,No,One year,Yes,Credit card,116.33,143.89,1,Yes
CUST00177,Male,0,No,No,65,Yes,No,Fiber optic,No,No internet service,No internet service,Two year,No,Bank transfer,84.61,5515.19,2,No
CUST00178,Male,0,Yes,Yes,41,Yes,No,Fiber optic,No internet service,No internet service,No internet service,Two year,No,Bank transfer,97.85,4030.74,3,Yes
CUST00179,Male,0,Yes,Yes,33,Yes,No phone service,DSL,Yes,No,No internet service,One year,No,Mailed check,51.2,1705.39,0,No
CUST00180,Male,0,No,No,41,Yes,No,No,No,No internet service,No,Month-to-month,Yes,Mailed check,32.74,1388.21,0,Yes
CUST00181,Male,0,Yes,No,19,Yes,No phone service,Fiber optic,No,No,No,One year,Yes,Credit card,44.19,880.94,0,No
CUST00182,Male,1,No,Yes,67,Yes,No,Fiber optic,Yes,No,Yes,Two year,Yes,Credit card,44.16,2987.69,0,No
CUST00183,Female,0,No,Yes,44,Yes,No,No,No,No internet service,No,Month-to-month,Yes,Mailed check,77.48,3454.73,3,Yes
CUST00184,Male,0,Yes,No,41,No,Yes,No,No internet service,No internet service,No internet service,Two year,No,Credit card,52.83,2210.35,5,No
CUST00185,Male,0,No,Yes,46,Yes,Yes,No,No internet service,No internet service,Yes,Month-to-month,No,Mailed check,105.45,4897.08,3,No
CUST00186,Male,1,Yes,No,4,Yes,Yes,No,No internet service,No internet service,No,Month-to-month,Yes,Bank transfer,118.83,486.41,2,No
CUST00187,Female,1,No,No,48,Yes,No,DSL,No internet service,Yes,No internet service,Two year,Yes,Mailed check,53.02,2580.84,0,No
CUST00188,Male,0,Yes,Yes,36,Yes,No phone service,Fiber optic,No,No,No internet service,Month-to-month,Yes,Electronic check,89.92,3267.58,3,Yes
CUST00189,Male,0,No,Yes,33,Yes,No phone service,Fiber optic,No internet service,Yes,Yes,Month-to-month,No,Mailed check,85.06,2843.67,1,No
CUST00190,Female,0,Yes,Yes,72,Yes,No phone service,DSL,No,Yes,No internet service,Month-to-month,Yes,Mailed check,37.84,2737.65,2,No
CUST00191,Male,0,No,No,69,Yes,Yes,No,Yes,No,No,Month-to-month,No,Electronic check,111.64,7737.9,0,No
CUST00192,Male,0,No,No,17,No,No,Fiber optic,No internet service,Yes,No internet service,Month-to-month,Yes,Electronic check,38.34,672.27,0,Yes
CUST00193,Male,0,No,No,18,No,Yes,Fiber optic,Yes,No internet service,Yes,Month-to-month,No,Electronic check,93.17,1718.76,0,No
CUST00194,Male,0,Yes,No,39,Yes,No,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,53.46,2124.71,2,Yes
CUST00195,Male,0,Yes,No,16,Yes,No,DSL,Yes,No internet service,No internet service,Two year,Yes,Mailed check,55.44,897.61,2,No
CUST00196,Female,0,No,Yes,59,Yes,No,Fiber optic,Yes,No internet service,No,Two year,No,Credit card,64.46,,0,No
